ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
525610,1,10.02.2021,20.11.2020,36000,0,,,,,,15.04.2025,10.02.2021,1,2,2021
525989,1,10.02.2021,12.12.2020,8500,0,,,,,,15.04.2025,10.02.2021,1,2,2021
559902,1,13.10.2021,26.08.2021,7233.38,1,4,,,,,15.04.2025,13.10.2021,1,2,2021
528180,1,11.02.2021,20.01.2021,125000,0,,,,,,15.04.2025,11.02.2021,1,2,2021
530538,1,10.03.2021,26.01.2021,68028,0,,,,,,15.04.2025,10.03.2021,1,1,2021
583915,1,11.11.2021,14.10.2021,125000,0,,,,,,15.04.2025,11.11.2021,1,2,2021
544958,1,10.07.2021,26.05.2021,14400,0,,,,,,15.04.2025,10.07.2021,1,2,2021
534522,1,16.04.2021,23.03.2021,130000,1,3,,,,,15.04.2025,16.04.2021,1,2,2021
556864,1,10.10.2021,16.08.2021,19500,0,,,,,,15.04.2025,10.10.2021,1,4,2021
543765,1,10.07.2021,24.04.2021,8000,0,,,,,,15.04.2025,10.07.2021,1,2,2021
531080,1,18.03.2021,30.06.2020,205000,1,3,,,prodaja hiše v 3.pgf,,15.04.2025,18.03.2021,1,2,2021
558503,1,11.10.2021,26.08.2021,45000,0,,,,,,15.04.2025,11.10.2021,1,2,2021
542327,1,11.06.2021,05.05.2021,4693.5,0,,,,,,15.04.2025,11.06.2021,1,1,2021
556802,1,10.10.2021,15.04.2021,10000,0,,,,,,15.04.2025,10.10.2021,1,1,2021
529756,1,10.03.2021,21.01.2021,45000,0,,,,,,15.04.2025,10.03.2021,1,2,2021
629776,1,10.12.2021,04.11.2021,2000,0,,,,,,15.04.2025,10.12.2021,1,2,2021
539812,1,10.06.2021,06.04.2021,174000,0,,,,,,15.04.2025,10.06.2021,1,2,2021
551853,1,12.08.2021,08.07.2021,70000,0,,,,,,15.04.2025,12.08.2021,1,2,2021
534726,1,21.04.2021,30.03.2021,796990.78,1,4,,,,,15.04.2025,21.04.2021,1,3,2021
629840,1,10.12.2021,08.11.2021,65000,0,,,,,,15.04.2025,10.12.2021,1,2,2021
543942,1,10.07.2021,29.03.2021,70000,0,,,,,,15.04.2025,10.07.2021,1,2,2021
529570,1,10.03.2021,04.01.2021,36000,0,,,,,,15.04.2025,10.03.2021,1,4,2021
524296,1,14.01.2021,14.12.2020,24000,0,,,,,,15.04.2025,14.01.2021,1,2,2021
545060,1,10.07.2021,04.05.2021,14000,0,,,,,,15.04.2025,10.07.2021,1,1,2021
533902,1,11.04.2021,05.03.2021,192000,0,,,,,,15.04.2025,11.04.2021,1,2,2021
528200,1,11.02.2021,20.01.2021,45000,0,,,,,,15.04.2025,11.02.2021,1,3,2021
583325,1,10.11.2021,01.10.2021,70000,0,,,,,,15.04.2025,10.11.2021,1,2,2021
526102,1,10.02.2021,09.12.2020,10000,0,,,,,,15.04.2025,10.02.2021,1,3,2021
